OBJECTID,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,GEO_PARENT_NAME,POP_DENSITY,B01001_001E,B01001_001M,B09020_021E,B09020_021M,SHAPE_Length,SHAPE_Area
37,01,073,00161562,0500000US01073,01073,Jefferson,06,2878552100,32849845,Alabama,229.170769568492,659680,0,2942,361,2.89766853171933,0.282662854469496
38,01,075,00161563,0500000US01075,01075,Lamar,06,1566544637,1600679,Alabama,8.86345634337644,13885,0,89,48,1.64042786894184,0.15272073956182
39,01,077,00161564,0500000US01077,01077,Lauderdale,06,1730146078,133608951,Alabama,53.4960609262497,92556,0,475,143,2.41880780699987,0.183853167205181
40,01,079,00161565,0500000US01079,01079,Lawrence,06,1788864251,68682382,Alabama,18.4798818476696,33058,0,103,112,1.9068742028651,0.182318926742993
41,01,081,00161566,0500000US01081,01081,Lee,06,1573514768,21526461,Alabama,102.415308249589,161152,0,327,91,2.02213728115859,0.153222556650478
42,01,083,00161567,0500000US01083,01083,Limestone,06,1450277886,122329712,Alabama,65.3164479127968,94727,0,327,121,1.69250731360455,0.154939200884953
43,01,085,00161568,0500000US01085,01085,Lowndes,06,1854201377,23721835,Alabama,5.43576341007107,10079,0,51,88,2.30618906933789,0.179530400350501
44,01,087,00161569,0500000US01087,01087,Macon,06,1576855716,11345392,Alabama,11.8641165518025,18708,0,70,42,2.02206994689615,0.152191651585493
45,01,089,00161570,0500000US01089,01089,Madison,06,2076111961,28810665,Alabama,174.497332901788,362276,0,907,183,2.38835323869786,0.207258476286475
46,01,091,00161572,0500000US01091,01091,Marengo,06,2530140237,14966620,Alabama,7.63633561391404,19321,0,165,84,2.63520567329528,0.2435204297535
47,01,093,00161573,0500000US01093,01093,Marion,06,1922657342,3183332,Alabama,15.5337091782213,29866,0,297,131,1.89923505231769,0.188200753058545
48,01,095,00161574,0500000US01095,01095,Marshall,06,1465531863,148495459,Alabama,65.2616312307363,95643,0,521,119,2.20854467071374,0.1581780167945
49,01,097,00161575,0500000US01097,01097,Mobile,06,3184158350,1073926668,Alabama,130.054461644472,414114,0,1566,194,3.68111572602986,0.309670079625368
50,01,099,00161576,0500000US01099,01099,Monroe,06,2656469660,22609681,Alabama,8.00686727963609,21270,0,139,92,2.80614031654559,0.254561493383497
51,01,101,00161577,0500000US01101,01101,Montgomery,06,2034017780,37744718,Alabama,111.572771010881,226941,0,871,198,2.52632451911162,0.198177267337501
52,01,103,00161578,0500000US01103,01103,Morgan,06,1501156832,50377239,Alabama,79.4140874948901,119213,0,586,134,1.80493233967976,0.1522137305215
53,01,105,00161579,0500000US01105,01105,Perry,06,1863900621,10937769,Alabama,4.98578083793664,9293,0,102,49,2.13792478056363,0.180206657735503
54,01,107,00161580,0500000US01107,01107,Pickens,06,2282674053,22740989,Alabama,8.8681079865063,20243,0,142,101,2.15651035231168,0.223002722739304
55,01,109,00161581,0500000US01109,01109,Pike,06,1740647520,2336975,Alabama,19.1497701958637,33333,0,128,77,2.14084600733988,0.166003613528506
56,01,111,00161582,0500000US01111,01111,Randolph,06,1503615937,9285420,Alabama,15.0616919139505,22647,0,144,28,1.58336743834813,0.146417890427038
57,01,113,00161583,0500000US01113,01113,Russell,06,1660622936,15596319,Alabama,34.8977475522475,57952,0,185,86,2.09237366068079,0.16050037946594
58,01,115,00164997,0500000US01115,01115,St. Clair,06,1635786810,56407166,Alabama,53.7900168054296,87989,0,296,97,2.41223342907433,0.164591008243499
59,01,117,00161584,0500000US01117,01117,Shelby,06,2034134905,62515663,Alabama,104.925194231402,213432,0,432,80,2.50756879124498,0.202884445421001
60,01,119,00161585,0500000US01119,01119,Sumter,06,2340898915,24634883,Alabama,5.46670337535698,12797,0,123,72,3.06149914567508,0.227137653032833
61,01,121,00161586,0500000US01121,01121,Talladega,06,1908293036,60927931,Alabama,42.1250816743011,80387,0,428,144,2.72360700242834,0.190809357624
62,01,123,00161587,0500000US01123,01123,Tallapoosa,06,1855782851,128806123,Alabama,21.8457671263393,40541,0,360,136,2.15446493496174,0.191236815536501
63,01,125,00161588,0500000US01125,01125,Tuscaloosa,06,3421010003,78714550,Alabama,60.5976012400453,207305,0,679,132,2.89227910920223,0.338823993066009
64,01,127,00161589,0500000US01127,01127,Walker,06,2048686078,36754696,Alabama,31.293227736768,64110,0,348,113,2.3811513869132,0.203015047807999
65,01,129,00161590,0500000US01129,01129,Washington,06,2797720322,21652733,Alabama,5.91231363261335,16541,0,49,33,2.62842103761961,0.267428490822731
66,01,131,00161591,0500000US01131,01131,Wilcox,06,2301075085,49057525,Alabama,4.64174336145141,10681,0,68,55,2.64900906474767,0.224269925663002
67,01,133,00161592,0500000US01133,01133,Winston,06,1587614057,48917203,Alabama,14.9809709073394,23784,0,209,77,1.67985323875935,0.160043241099998
68,02,013,01419964,0500000US02013,02013,Aleutians East,04,18091501984,20800021676,Alaska,0.187104420793457,3385,0,42,22,52.5312845501683,2.62376780665056
69,02,016,01419965,0500000US02016,02016,Aleutians West,05,11381568820,25179951971,Alaska,0.500633971477405,5698,0,41,32,55.6692078287621,1.56506491352775
70,02,020,01416061,0500000US02020,02020,Anchorage,12,4420591351,614471690,Alaska,66.4008447497865,293531,0,1104,139,4.74867969387494,0.748446820876539
71,02,050,01419966,0500000US02050,02050,Bethel,05,105232821617,12764641092,Alaska,0.172322662467415,18134,0,33,70,45.6812893389477,18.1873623639937
72,02,060,01419967,0500000US02060,02060,Bristol Bay,04,1248324004,949767442,Alaska,0.700939817864786,875,80,0,9,2.3925225768444,0.205684343339838
73,02,068,01419988,0500000US02068,02068,Denali,04,32729577049,66105677,Alaska,0.0686229460477743,2246,367,0,9,15.2405364189983,5.94308010621456
74,02,070,01419968,0500000US02070,02070,Dillingham,05,47478730849,5949974282,Alaska,0.1044888924217,4961,0,98,109,20.0170111195638,7.86136355970404
75,02,090,01419969,0500000US02090,02090,Fairbanks North Star,04,18983544936,272866589,Alaska,5.21883559335232,99072,0,75,41,13.2746560506594,3.63515455713551
76,02,100,01419970,0500000US02100,02100,Haines,04,6072297430,1038275846,Alaska,0.414670069940892,2518,0,8,39,11.7556364758258,0.977117405235119
77,02,105,02371430,0500000US02105,02105,Hoonah-Angoon,05,16981186974,7801738685,Alaska,0.12596292610611,2139,0,0,9,38.137960844096,2.72216754723888
78,02,110,01419971,0500000US02110,02110,Juneau,03,7003264582,1426373039,Alaska,4.60171104813472,32227,0,61,27,10.1318706376857,1.12114828252975
79,02,122,01419972,0500000US02122,02122,Kenai Peninsula,04,41499872077,22525650886,Alaska,1.40877542686214,58464,0,286,96,47.8615384264999,6.89946863084223
80,02,130,01419973,0500000US02130,02130,Ketchikan Gateway,04,12579378509,4651615675,Alaska,1.09703352913077,13800,0,61,90,21.1238640307903,1.90598004249952
81,02,150,01419974,0500000US02150,02150,Kodiak Island,04,17133712542,14166830862,Alaska,0.785060445424625,13451,0,29,25,47.5478410788281,2.75012909705553
82,02,158,01419985,0500000US02158,02158,Kusilvak,05,44222017663,6693558019,Alaska,0.186558651911142,8250,0,0,13,20.9220967810786,8.06260739803498
83,02,164,01419975,0500000US02164,02164,Lake and Peninsula,04,61912947833,25973300388,Alaska,0.0224993325105015,1393,367,0,9,38.5208173904129,10.6296739150856
84,02,170,01419976,0500000US02170,02170,Matanuska-Susitna,04,64009263421,1456029488,Alaska,1.64615235933852,105369,0,183,95,17.3872884364162,11.2032535784691
85,02,180,01419977,0500000US02180,02180,Nome,05,59492073779,13779318627,Alaska,0.167887911204831,9988,0,12,46,43.8367618896918,11.639959222135
86,02,185,01419978,0500000US02185,02185,North Slope,04,230054247231,15548935657,Alaska,0.0425638740334481,9792,0,153,60,71.1801400957386,53.1131131237925
87,02,188,01419979,0500000US02188,02188,Northwest Arctic,04,92369226065,12835515419,Alaska,0.0835234885975008,7715,0,56,70,44.2358065614101,19.6244227390973
88,02,195,02516404,0500000US02195,02195,Petersburg,04,7512659027,2385853100,Alaska,0.433534915972435,3257,0,0,9,12.7585706356544,1.17780250319321
89,02,198,01419980,0500000US02198,02198,Prince of Wales-Hyder,05,13633096724,14622411293,Alaska,0.469959256485064,6407,0,16,26,45.4303454856374,2.18898416437768
90,02,220,01419981,0500000US02220,02220,Sitka,03,7433305220,5037858058,Alaska,1.16233623459363,8640,0,35,20,20.2068043847213,1.23468549202828
91,02,230,02339479,0500000US02230,02230,Skagway,12,1123881121,28784118,Alaska,0.984979620455783,1107,102,0,9,2.26608447124171,0.179342033121311
92,02,240,01419983,0500000US02240,02240,Southeast Fairbanks,05,64290716362,751936140,Alaska,0.106982786772389,6878,0,12,14,21.9880728169359,11.8722451347446
93,02,261,01419984,0500000US02261,02261,Valdez-Cordova,05,88634209842,15756652761,Alaska,0.104282533984075,9243,0,41,26,71.5495391399454,15.3780207896789
94,02,275,02516402,0500000US02275,02275,Wrangell,03,6619997018,2384375227,Alaska,0.377945789582227,2502,0,13,10,16.5288189103926,1.00785847666553
95,02,282,01419986,0500000US02282,02282,Yakutat,03,19744199352,3986129000,Alaska,0.0328704136556573,649,89,0,9,19.0639844631521,3.29594411728274
96,02,290,01419987,0500000US02290,02290,Yukon-Koyukuk,05,377038836685,5945279912,Alaska,0.0142611303580174,5377,0,85,153,63.62708406822,74.2570606595641
97,04,001,00025441,0500000US04001,04001,Apache,06,29002035366,54153162,Arizona,2.46572349483563,71511,0,199,141,9.28969473743483,2.88329568849361
98,04,003,00025442,0500000US04003,04003,Cochise,06,16083174724,17667961,Arizona,7.82600463900799,125867,0,390,111,5.02015912516867,1.53518813235006
99,04,005,00025443,0500000US04005,04005,Coconino,06,48217246133,116631412,Arizona,2.92994750488896,141274,0,338,201,12.3405306300943,4.82190198216334
100,04,007,00040471,0500000US04007,04007,Gila,06,12323152721,97113523,Arizona,4.34515429714279,53546,0,340,125,8.14912350391492,1.209312656959
101,04,009,00025444,0500000US04009,04009,Graham,06,11970605964,47476264,Arizona,3.17410832118841,37996,0,141,77,5.4216818796449,1.15871681758899
102,04,011,00042807,0500000US04011,04011,Greenlee,06,4771123868,13750620,Arizona,1.99575619150536,9522,0,5,13,3.42751937984347,0.463101678000455
103,04,012,00043540,0500000US04012,04012,La Paz,06,11645512187,36551630,Arizona,1.78549467521157,20793,0,5,11,5.74193956515502,1.13645817515488
104,04,013,00037026,0500000US04013,04013,Maricopa,06,23829622328,63347750,Arizona,181.656676736904,4328810,0,10234,620,8.07655405031204,2.31423472693701
105,04,015,00025445,0500000US04015,04015,Mohave,06,34529358909,333447540,Arizona,6.01502624324325,207695,0,465,147,10.5569633936245,3.47248178253439
106,04,017,00042808,0500000US04017,04017,Navajo,06,25770517979,24125805,Arizona,4.24011655834945,109270,0,280,104,8.74513381230067,2.55974284544462
107,04,019,00025446,0500000US04019,04019,Pima,06,23798597214,5112470,Arizona,43.1625020064512,1027207,0,3421,373,7.435724560924,2.2740513648009
108,04,021,00025447,0500000US04021,04021,Pinal,06,13897997152,22344370,Arizona,31.1406741033703,432793,0,857,200,5.92052826247771,1.34167889149149
109,04,023,00040472,0500000US04023,04023,Santa Cruz,06,3201833002,3088479,Arizona,14.5166846524996,46480,0,37,34,2.54895154317764,0.304346720711677
110,04,025,00042809,0500000US04025,04025,Yavapai,06,21038727465,11501576,Arizona,10.8403419541135,228067,0,724,275,7.35892649539262,2.06874160094299
111,04,027,00023901,0500000US04027,04027,Yuma,06,14280777606,13248642,Arizona,14.6678287260767,209468,0,386,111,5.53725334739758,1.3759669688333
112,05,001,00063755,0500000US05001,05001,Arkansas,06,2561013146,116378934,Arkansas,6.99488795205114,17914,0,115,70,3.08908086419622,0.262145308711999
113,05,003,00063756,0500000US05003,05003,Ashley,06,2396668938,39291076,Arkansas,8.45757195689912,20270,0,62,38,2.3767332340499,0.235538369614113
114,05,005,00069895,0500000US05005,05005,Baxter,06,1435504137,84171720,Arkansas,28.8588510003019,41427,0,259,101,2.13604654038967,0.152454517283567
115,05,007,00069896,0500000US05007,05007,Benton,06,2196053836,94223432,Arkansas,121.016614275753,265759,0,871,215,2.62172404001415,0.22988242576605
116,05,009,00069897,0500000US05009,05009,Boone,06,1528080514,31092205,Arkansas,24.4299954472163,37331,0,238,108,1.69830593823105,0.15646369142214
117,05,011,00063757,0500000US05011,05011,Bradley,06,1681512201,9535200,Arkansas,6.46679815557282,10874,0,98,78,2.39692802867988,0.164013922569996
118,05,013,00063758,0500000US05013,05013,Calhoun,06,1627975429,9926146,Arkansas,3.18923732355668,5192,0,0,17,2.38566275902082,0.159034658879998
119,05,015,00066975,0500000US05015,05015,Carroll,06,1631823636,22397554,Arkansas,17.1372686257622,27965,0,94,70,2.12581068847232,0.165979664553833
120,05,017,00069160,0500000US05017,05017,Chicot,06,1669835058,119303631,Arkansas,6.35691528282669,10615,0,94,65,2.72879642082526,0.173184998711749
121,05,019,00066845,0500000US05019,05019,Clark,06,2243130283,43387661,Arkansas,9.97980374553215,22386,0,221,108,2.99489330115172,0.223278225377503
122,05,021,00063759,0500000US05021,05021,Clay,06,1656214474,5097734,Arkansas,8.98977773333963,14889,0,36,24,2.28444693036264,0.166922228693862
123,05,023,00066983,0500000US05023,05023,Cleburne,06,1434077953,98890719,Arkansas,17.5025353032535,25100,0,250,146,1.60790368872273,0.152359244775999
124,05,025,00063760,0500000US05025,05025,Cleveland,06,1548239710,2500196,Arkansas,5.24983305072313,8128,0,78,64,1.84536111628931,0.151140885400508
125,05,027,00063761,0500000US05027,05027,Columbia,06,1983887989,1990757,Arkansas,11.9845475812294,23776,0,252,119,1.86081414226369,0.192109446788566
126,05,029,00066846,0500000US05029,05029,Conway,06,1430388148,37328675,Arkansas,14.5820559469569,20858,0,91,53,2.08638894519438,0.145396066975503
127,05,031,00066847,0500000US05031,05031,Craighead,06,1831907088,14029461,Arkansas,58.5974041495712,107345,0,633,225,2.10685739061222,0.184117799374954
128,05,033,00069161,0500000US05033,05033,Crawford,06,1537849721,28387848,Arkansas,40.7965740366383,62739,0,392,103,2.22639928177955,0.155721982493391
129,05,035,00069162,0500000US05035,05035,Crittenden,06,1580882918,67433862,Arkansas,30.7878587628587,48672,0,262,110,2.47991361475133,0.163162472657245
130,05,037,00066848,0500000US05037,05037,Cross,06,1596421810,15344835,Arkansas,10.5385681244232,16824,0,139,104,1.69262504553035,0.159691536357497
131,05,039,00066849,0500000US05039,05039,Dallas,06,1728522507,1864048,Arkansas,4.21111091728469,7279,0,64,80,2.42995481790231,0.168775515282502
132,05,041,00066850,0500000US05041,05041,Desha,06,1989461618,133085432,Arkansas,5.88551188626148,11709,0,46,37,3.63914924287521,0.206676168227532
133,05,043,00066851,0500000US05043,05043,Drew,06,2145488990,18914023,Arkansas,8.58405710112733,18417,0,184,64,1.94248266001784,0.210237512526997
134,05,045,00066852,0500000US05045,05045,Faulkner,06,1678199700,41766665,Arkansas,73.6646538549614,123624,0,402,168,2.1581683207851,0.170102286034997
135,05,047,00066853,0500000US05047,05047,Franklin,06,1576909749,27950884,Arkansas,11.2485828762544,17738,0,218,112,2.18680191705089,0.159466187698001
136,05,049,00066854,0500000US05049,05049,Fulton,06,1601099815,5526928,Arkansas,7.63912398553366,12231,0,129,91,1.89291659167049,0.161364046709896
137,05,051,00066855,0500000US05051,05051,Garland,06,1755025617,147393195,Arkansas,56.1558754728992,98555,0,644,171,2.00740698893282,0.186907718144501
138,05,053,00066856,0500000US05053,05053,Grant,06,1636384327,2896901,Arkansas,11.076859941106,18126,0,96,31,1.86529763420476,0.160514043682
139,05,055,00066857,0500000US05055,05055,Greene,06,1496205800,4789610,Arkansas,30.033969925795,44937,0,213,101,1.98610073853331,0.15015374419824
140,05,057,00066858,0500000US05057,05057,Hempstead,06,1884271055,35369289,Arkansas,11.5917505297559,21842,0,147,56,2.43929566722681,0.186763485500005
141,05,059,00066859,0500000US05059,05059,Hot Spring,06,1593594553,18034772,Arkansas,21.0825268803488,33597,0,236,100,2.23614853993389,0.157835191679492
142,05,061,00066872,0500000US05061,05061,Howard,06,1524380362,17475613,Arkansas,8.73207260590516,13311,0,128,107,2.36092596114733,0.150600717224001
143,05,063,00069163,0500000US05063,05063,Independence,06,1978814985,19593589,Arkansas,18.9138450454983,37427,0,331,163,2.33025214632533,0.199137030619503
144,05,065,00066860,0500000US05065,05065,Izard,06,1503735021,8913817,Arkansas,9.02419629156193,13570,0,152,74,1.90131086391149,0.151368702100002
145,05,067,00066861,0500000US05067,05067,Jackson,06,1641629489,19623387,Arkansas,10.3720115373732,17027,0,198,54,2.40777418397078,0.165176641122995
146,05,069,00066862,0500000US05069,05069,Jefferson,06,2253424970,113261151,Arkansas,30.7451993842067,69282,0,498,157,2.79731702784001,0.231708154716003
147,05,071,00066863,0500000US05071,05071,Johnson,06,1708980734,58598404,Arkansas,15.4314203052917,26372,0,148,96,2.07161527471014,0.175748931271499
148,05,073,00066864,0500000US05073,05073,Lafayette,06,1368278171,43469432,Arkansas,4.96974967818879,6800,0,41,33,2.3864252297588,0.136569632546921
149,05,075,00066865,0500000US05075,05075,Lawrence,06,1521913730,12286149,Arkansas,10.8738095161281,16549,0,206,94,2.10110398717034,0.153439531533499
150,05,077,00066866,0500000US05077,05077,Lee,06,1560781755,43720909,Arkansas,5.89063779772336,9194,0,118,83,2.51149115591779,0.157978748079341
151,05,079,00066873,0500000US05079,05079,Lincoln,06,1454383536,27514923,Arkansas,9.25134235017908,13455,0,252,80,1.95690662982026,0.144531884114996
152,05,081,00066874,0500000US05081,05081,Little River,06,1378511385,84225310,Arkansas,8.95676316811848,12347,0,128,92,3.10079512509383,0.142255108724804
153,05,083,00082850,0500000US05083,05083,Logan,06,1834415737,61409940,Arkansas,11.8119353006837,21668,0,197,97,2.65666835480772,0.1876815625195
154,05,085,00069164,0500000US05085,05085,Lonoke,06,1997848802,82750645,Arkansas,36.3030475216112,72528,0,382,105,2.33652397185555,0.204825071692499
155,05,087,00069165,0500000US05087,05087,Madison,06,2160720581,7318310,Arkansas,7.5025897112978,16211,0,46,51,2.13163781605636,0.216732701644504
156,05,089,00069898,0500000US05089,05089,Marion,06,1546110609,112284588,Arkansas,10.6564174025404,16476,0,128,97,2.15326995836302,0.166310702269426
157,05,091,00069166,0500000US05091,05091,Miller,06,1620637610,30875065,Arkansas,26.8857144442057,43572,0,268,120,2.69977725529239,0.159913977851274
158,05,093,00069899,0500000US05093,05093,Mississippi,06,2332481583,49826387,Arkansas,18.0605927639601,42126,0,222,104,2.95527666889708,0.237365409910375
159,05,095,00069167,0500000US05095,05095,Monroe,06,1572467982,36693587,Arkansas,4.48339812365095,7050,0,43,68,2.4050566811962,0.158299541203504
160,05,097,00069168,0500000US05097,05097,Montgomery,06,2019984639,52914079,Arkansas,4.43072676257119,8950,0,101,111,1.87428959017069,0.203554520594007
161,05,099,00069169,0500000US05099,05099,Nevada,06,1600206102,7241222,Arkansas,5.21870275932744,8351,0,117,36,1.9517034596111,0.156265364902996
162,05,101,00069900,0500000US05101,05101,Newton,06,2126132564,5930171,Arkansas,3.67427700994471,7812,0,67,60,2.01079512466194,0.212898931471999
163,05,103,00069170,0500000US05103,05103,Ouachita,06,1897898727,18050436,Arkansas,12.5559913503225,23830,0,235,101,2.74189679772147,0.1861139041295
164,05,105,00069171,0500000US05105,05105,Perry,06,1428530422,23226442,Arkansas,7.2487080712657,10355,0,83,41,2.39147016562486,0.143278937997
165,05,107,00069172,0500000US05107,05107,Phillips,06,1801669169,82139041,Arkansas,10.327090189553,18606,0,95,88,2.80299917890446,0.184780838092991
166,05,109,00069173,0500000US05109,05109,Pike,06,1555611456,34977709,Arkansas,6.9143229554617,10756,0,86,63,2.23884270534607,0.155510373135498
167,05,111,00069174,0500000US05111,05111,Poinsett,06,1964149129,13520122,Arkansas,12.1660823239863,23896,0,186,78,2.03989907712426,0.196656687461504
168,05,113,00069175,0500000US05113,05113,Polk,06,2220863254,12372575,Arkansas,9.04783307293174,20094,0,88,71,2.15416766280841,0.21920822686002
169,05,115,00069901,0500000US05115,05115,Pope,06,2104407172,47240356,Arkansas,30.2987942867551,63761,0,353,146,2.10769119806594,0.213595436226001
170,05,117,00069176,0500000US05117,05117,Prairie,06,1677973068,71807770,Arkansas,4.88029287011179,8189,0,89,36,2.6199515479896,0.172427715887502
171,05,119,00069177,0500000US05119,05119,Pulaski,06,1964339922,126230012,Arkansas,200.050406550766,392967,0,2087,250,2.81854191290408,0.205867427364006
172,05,121,00069178,0500000US05121,05121,Randolph,06,1689251373,9889900,Arkansas,10.4750543837504,17695,0,176,169,2.22230103081957,0.170562166373015
173,05,123,00083331,0500000US05123,05123,St. Francis,06,1644019105,20027489,Arkansas,15.7540748287107,25900,0,230,104,2.07324695045208,0.164360572227998
174,05,125,00067102,0500000US05125,05125,Saline,06,1874047317,17969885,Arkansas,63.7203761702032,119415,0,601,208,2.62293489140277,0.185998625956999
175,05,127,00069179,0500000US05127,05127,Scott,06,2311217233,14870494,Arkansas,4.48940923936076,10376,0,64,93,2.38687393269977,0.229284643708568
176,05,129,00069180,0500000US05129,05129,Searcy,06,1724955843,6256683,Arkansas,4.58446518042259,7908,0,65,80,1.86064915576192,0.172865412218503
177,05,131,00069181,0500000US05131,05131,Sebastian,06,1375720610,37325387,Arkansas,92.7448488250823,127591,0,781,229,2.10455608650165,0.13986795362041
178,05,133,00069182,0500000US05133,05133,Sevier,06,1464132101,41833257,Arkansas,11.6662970426874,17081,0,84,84,2.4416466300509,0.146941939325829
179,05,135,00069183,0500000US05135,05135,Sharp,06,1565401499,5201390,Arkansas,10.9486288411942,17139,0,120,88,2.16226360237756,0.157285718998986
180,05,137,00069902,0500000US05137,05137,Stone,06,1570754768,7842161,Arkansas,7.94204178408071,12475,0,78,75,2.09165575806912,0.157537342905998
181,05,139,00069903,0500000US05139,05139,Union,06,2691655893,41400825,Arkansas,14.6560338944485,39449,0,191,132,3.0000898529162,0.264265433180699
182,05,141,00069904,0500000US05141,05141,Van Buren,06,1838244470,37694051,Arkansas,9.0532028093086,16642,0,100,71,2.05005128402035,0.186524749340495
183,05,143,00069905,0500000US05143,05143,Washington,06,2439709563,26898329,Arkansas,95.21174303812,232289,0,837,209,2.28809188603206,0.246500000034487
